source,line,family,evidence
apps/mobile/src/ui/screens/CustomizationCollectionScreen.tsx,63,Partial list or refresh failure; local list status candidate,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/CustomizationCollectionScreen.tsx,84,Partial list or refresh failure; local list status candidate,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/CustomizationCollectionScreen.tsx,98,Partial list or refresh failure; local list status candidate,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/CustomizationEditorScreen.tsx,228,Save/lifecycle completion crosses navigation; access retry failure stays in editor,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/CustomizationEditorScreen.tsx,251,Save/lifecycle completion crosses navigation; access retry failure stays in editor,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/CustomizationEditorScreen.tsx,304,Save/lifecycle completion crosses navigation; access retry failure stays in editor,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/CustomizationEditorScreen.tsx,307,Save/lifecycle completion crosses navigation; access retry failure stays in editor,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/HomeScreen.tsx,54,Dashboard refresh failure; retain content and expose retry,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/InventoryMapScreen.tsx,165,Map refresh failure with cached content; local recovery candidate,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileEditorScreens.tsx,89,Credential/prompt save result; completion navigation and failure draft ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileEditorScreens.tsx,92,Credential/prompt save result; completion navigation and failure draft ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileEditorScreens.tsx,152,Credential/prompt save result; completion navigation and failure draft ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileEditorScreens.tsx,155,Credential/prompt save result; completion navigation and failure draft ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileScreens.tsx,92,Profile creation/test/lifecycle result; completion and screen ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileScreens.tsx,99,Profile creation/test/lifecycle result; completion and screen ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileScreens.tsx,178,Profile creation/test/lifecycle result; completion and screen ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/ProviderProfileScreens.tsx,185,Profile creation/test/lifecycle result; completion and screen ownership,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/SettingsDetailScreens.tsx,41,Sign-out/server-change failure; account context ownership required,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/SettingsDetailScreens.tsx,98,Sign-out/server-change failure; account context ownership required,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/VoiceSettingsScreens.tsx,145,Stage selection/test/enable result; local task status candidate,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/VoiceSettingsScreens.tsx,148,Stage selection/test/enable result; local task status candidate,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/useHomeReturnActions.ts,47,Return operation failure or missing undo; preserve task outcome,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/useHomeReturnActions.ts,61,Return operation failure or missing undo; preserve task outcome,call site inventoried; per-site native placement and callback acceptance pending
